WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.546,0.0023594,0.030847,MLW,0.25,0.13888
0.547,0.0024128,0.03176,MLW,0.25,0.13888
0.548,0.0022471,0.029777,MLW,0.25,0.13888
0.549,0.0023345,0.031134,MLW,0.25,0.13888
0.55,0.0022836,0.030659,MLW,0.25,0.13888
0.551,0.0022581,0.030523,MLW,0.25,0.13888
0.552,0.0023261,0.03166,MLW,0.25,0.13888
0.553,0.002227,0.030516,MLW,0.25,0.13888
0.554,0.0022841,0.03151,MLW,0.25,0.13888
0.555,0.0022657,0.031467,MLW,0.25,0.13888
0.556,0.0021944,0.030682,MLW,0.25,0.13888
0.557,0.0021412,0.030137,MLW,0.25,0.13888
0.558,0.0021734,0.030796,MLW,0.25,0.13888
0.559,0.0020482,0.029216,MLW,0.25,0.13888
0.56,0.0020554,0.02951,MLW,0.25,0.13888
0.561,0.0022223,0.032117,MLW,0.25,0.13888
0.562,0.0020305,0.029539,MLW,0.25,0.13888
0.563,0.0021128,0.030937,MLW,0.25,0.13888
0.564,0.0020646,0.030428,MLW,0.25,0.13888
0.565,0.0020817,0.03088,MLW,0.25,0.13888
0.566,0.0019056,0.02845,MLW,0.25,0.13888
0.567,0.0020327,0.030545,MLW,0.25,0.13888
0.568,0.0020218,0.030567,MLW,0.25,0.13888
0.569,0.0019807,0.030112,MLW,0.25,0.13888
0.57,0.0019726,0.030191,MLW,0.25,0.13888
0.571,0.0018893,0.029121,MLW,0.25,0.13888
0.572,0.0019907,0.030866,MLW,0.25,0.13888
0.573,0.0020002,0.031213,MLW,0.25,0.13888
0.574,0.0019771,0.031054,MLW,0.25,0.13888
0.575,0.0019213,0.030368,MLW,0.25,0.13888
0.576,0.0018846,0.029982,MLW,0.25,0.13888
0.577,0.001936,0.030999,MLW,0.25,0.13888
0.578,0.0018762,0.030235,MLW,0.25,0.13888
0.579,0.0018496,0.029999,MLW,0.25,0.13888
0.58,0.0018985,0.030987,MLW,0.25,0.13888
0.581,0.0018572,0.030504,MLW,0.25,0.13888
0.582,0.0018704,0.030911,MLW,0.25,0.13888
0.583,0.0018755,0.031189,MLW,0.25,0.13888
0.584,0.00186,0.03112,MLW,0.25,0.13888
0.585,0.0018309,0.030822,MLW,0.25,0.13888
0.586,0.0017519,0.029669,MLW,0.25,0.13888
0.587,0.0018099,0.030827,MLW,0.25,0.13888
0.588,0.001792,0.030666,MLW,0.25,0.13888
0.589,0.0016112,0.027641,MLW,0.25,0.13888
0.59,0.0016604,0.028663,MLW,0.25,0.13888
0.591,0.0017414,0.030298,MLW,0.25,0.13888
0.592,0.0017083,0.029861,MLW,0.25,0.13888
0.593,0.0016957,0.029853,MLW,0.25,0.13888
0.594,0.0017041,0.030171,MLW,0.25,0.13888
0.595,0.0016781,0.029872,MLW,0.25,0.13888
0.596,0.0016811,0.03017,MLW,0.25,0.13888
0.597,0.0016844,0.0304,MLW,0.25,0.13888
0.598,0.0016323,0.029653,MLW,0.25,0.13888
0.599,0.0016213,0.029636,MLW,0.25,0.13888
0.6,0.001611,0.029638,MLW,0.25,0.13888
0.601,0.001577,0.029195,MLW,0.25,0.13888
0.602,0.0015603,0.029057,MLW,0.25,0.13888
0.603,0.0015622,0.029266,MLW,0.25,0.13888
0.604,0.0016003,0.030156,MLW,0.25,0.13888
0.605,0.0015886,0.030112,MLW,0.25,0.13888
0.606,0.0015657,0.02985,MLW,0.25,0.13888
0.607,0.0015481,0.029686,MLW,0.25,0.13888
0.608,0.0015389,0.029682,MLW,0.25,0.13888
0.609,0.001516,0.029408,MLW,0.25,0.13888
0.61,0.0014963,0.029191,MLW,0.25,0.13888
0.611,0.0014994,0.029423,MLW,0.25,0.13888
0.612,0.0014804,0.029215,MLW,0.25,0.13888
0.613,0.001454,0.028859,MLW,0.25,0.13888
0.614,0.0013987,0.027918,MLW,0.25,0.13888
0.615,0.0014573,0.029254,MLW,0.25,0.13888
0.616,0.0013758,0.027771,MLW,0.25,0.13888
0.617,0.0013878,0.028174,MLW,0.25,0.13888
0.618,0.0014476,0.029553,MLW,0.25,0.13888
0.619,0.001425,0.029253,MLW,0.25,0.13888
0.62,0.0014427,0.029781,MLW,0.25,0.13888
0.621,0.0014524,0.030148,MLW,0.25,0.13888
0.622,0.0013868,0.028945,MLW,0.25,0.13888
0.623,0.0013878,0.029124,MLW,0.25,0.13888
0.624,0.0013766,0.029051,MLW,0.25,0.13888
0.625,0.0013395,0.028423,MLW,0.25,0.13888
0.626,0.0013403,0.028593,MLW,0.25,0.13888
0.627,0.0013652,0.029273,MLW,0.25,0.13888
0.628,0.0013096,0.027794,MLW,0.25,0.13888
0.629,0.0013571,0.029253,MLW,0.25,0.13888
0.63,0.0013004,0.028156,MLW,0.25,0.13888
0.631,0.0013523,0.029546,MLW,0.25,0.13888
0.632,0.001267,0.027857,MLW,0.25,0.13888
0.633,0.0013463,0.029794,MLW,0.25,0.13888
0.634,0.0013013,0.028972,MLW,0.25,0.13888
0.635,0.001318,0.029503,MLW,0.25,0.13888
0.636,0.0012721,0.028628,MLW,0.25,0.13888
0.637,0.0013012,0.029439,MLW,0.25,0.13888
0.638,0.0013154,0.02992,MLW,0.25,0.13888
0.639,0.0012949,0.029608,MLW,0.25,0.13888
0.64,0.0012581,0.028919,MLW,0.25,0.13888
0.641,0.0012654,0.029237,MLW,0.25,0.13888
0.642,0.0012448,0.028912,MLW,0.25,0.13888
0.643,0.0012646,0.02952,MLW,0.25,0.13888
0.644,0.0012431,0.029171,MLW,0.25,0.13888
0.645,0.0012513,0.02951,MLW,0.25,0.13888
0.646,0.0012161,0.028803,MLW,0.25,0.13888
0.647,0.001217,0.028936,MLW,0.25,0.13888
0.648,0.0012268,0.029281,MLW,0.25,0.13888
0.649,0.0012298,0.029501,MLW,0.25,0.13888
0.65,0.0011367,0.027469,MLW,0.25,0.13888
0.651,0.0012171,0.029572,MLW,0.25,0.13888
0.652,0.0011956,0.029111,MLW,0.25,0.13888
0.653,0.0012044,0.029552,MLW,0.25,0.13888
0.654,0.001188,0.029306,MLW,0.25,0.13888
0.655,0.0011541,0.028567,MLW,0.25,0.13888
0.656,0.00098667,0.024568,MLW,0.25,0.13888
0.657,0.0010266,0.0257,MLW,0.25,0.13888
0.658,0.0011445,0.028803,MLW,0.25,0.13888
0.659,0.0011472,0.029024,MLW,0.25,0.13888
0.66,0.0011418,0.029036,MLW,0.25,0.13888
0.661,0.0011438,0.029238,MLW,0.25,0.13888
0.662,0.0011565,0.029713,MLW,0.25,0.13888
0.663,0.0011354,0.029313,MLW,0.25,0.13888
0.664,0.0011151,0.028931,MLW,0.25,0.13888
0.665,0.0011192,0.029179,MLW,0.25,0.13888
0.666,0.0011176,0.029281,MLW,0.25,0.13888
0.667,0.0011056,0.029109,MLW,0.25,0.13888
0.668,0.0010998,0.029094,MLW,0.25,0.13888
0.669,0.0011119,0.029557,MLW,0.25,0.13888
0.67,0.0010923,0.029178,MLW,0.25,0.13888
0.671,0.0010832,0.029071,MLW,0.25,0.13888
0.672,0.0010676,0.02879,MLW,0.25,0.13888
0.673,0.0010743,0.02911,MLW,0.25,0.13888
0.674,0.0010728,0.029208,MLW,0.25,0.13888
0.675,0.0010532,0.02881,MLW,0.25,0.13888
0.676,0.0010671,0.029325,MLW,0.25,0.13888
0.677,0.0010434,0.028811,MLW,0.25,0.13888
0.678,0.0010529,0.029207,MLW,0.25,0.13888
0.679,0.0010369,0.0289,MLW,0.25,0.13888
0.68,0.0010284,0.028798,MLW,0.25,0.13888
0.681,0.001023,0.028778,MLW,0.25,0.13888
0.682,0.0010192,0.028803,MLW,0.25,0.13888
0.683,0.0010187,0.028921,MLW,0.25,0.13888
0.684,0.00099924,0.028499,MLW,0.25,0.13888
0.685,0.0010063,0.028836,MLW,0.25,0.13888
0.686,0.0009625,0.0277,MLW,0.25,0.13888
0.687,0.00076163,0.0194,MLW,0.25,0.13888
0.688,0.00082072,0.022099,MLW,0.25,0.13888
0.689,0.00082099,0.02225,MLW,0.25,0.13888
0.69,0.00085766,0.023719,MLW,0.25,0.13888
0.691,0.00088751,0.025162,MLW,0.25,0.13888
0.692,0.00090356,0.026161,MLW,0.25,0.13888
0.693,0.00092104,0.026979,MLW,0.25,0.13888
0.694,0.00094105,0.027737,MLW,0.25,0.13888
0.695,0.00093049,0.027698,MLW,0.25,0.13888
0.696,0.00093513,0.027937,MLW,0.25,0.13888
0.697,0.00093763,0.028338,MLW,0.25,0.13888
0.698,0.00091678,0.027836,MLW,0.25,0.13888
0.699,0.00092965,0.028261,MLW,0.25,0.13888
0.7,0.00091377,0.027916,MLW,0.25,0.13888
0.701,0.00089577,0.027485,MLW,0.25,0.13888
0.702,0.00088442,0.027291,MLW,0.25,0.13888
0.703,0.00088747,0.027502,MLW,0.25,0.13888
0.704,0.00089147,0.027808,MLW,0.25,0.13888
0.705,0.000897,0.02811,MLW,0.25,0.13888
0.706,0.00088233,0.027802,MLW,0.25,0.13888
0.707,0.0008662,0.027426,MLW,0.25,0.13888
0.708,0.00088557,0.028171,MLW,0.25,0.13888
0.709,0.00085423,0.027322,MLW,0.25,0.13888
0.71,0.00086862,0.027899,MLW,0.25,0.13888
0.711,0.00085571,0.027616,MLW,0.25,0.13888
0.712,0.00084321,0.027348,MLW,0.25,0.13888
0.713,0.00083392,0.027161,MLW,0.25,0.13888
0.714,0.00084447,0.02763,MLW,0.25,0.13888
0.715,0.00081067,0.026619,MLW,0.25,0.13888
0.716,0.00083008,0.027371,MLW,0.25,0.13888
0.717,0.00079703,0.026041,MLW,0.25,0.13888
0.718,0.00078224,0.025393,MLW,0.25,0.13888
0.719,0.00075298,0.024121,MLW,0.25,0.13888
0.72,0.000771,0.025066,MLW,0.25,0.13888
0.721,0.00076866,0.025375,MLW,0.25,0.13888
0.722,0.00079018,0.026699,MLW,0.25,0.13888
0.723,0.00077829,0.026126,MLW,0.25,0.13888
0.724,0.00077071,0.025641,MLW,0.25,0.13888
0.725,0.00076181,0.025524,MLW,0.25,0.13888
0.726,0.00076397,0.025945,MLW,0.25,0.13888
0.727,0.00076829,0.026078,MLW,0.25,0.13888
0.728,0.00075285,0.025645,MLW,0.25,0.13888
0.729,0.00071946,0.024734,MLW,0.25,0.13888
0.73,0.00075362,0.026211,MLW,0.25,0.13888
0.731,0.00073214,0.025424,MLW,0.25,0.13888
0.732,0.00074783,0.026275,MLW,0.25,0.13888
0.733,0.0007367,0.026143,MLW,0.25,0.13888
0.734,0.00075058,0.026777,MLW,0.25,0.13888
0.735,0.00074067,0.026529,MLW,0.25,0.13888
0.736,0.00072562,0.026109,MLW,0.25,0.13888
0.737,0.0007305,0.02639,MLW,0.25,0.13888
0.738,0.00072918,0.026521,MLW,0.25,0.13888
0.739,0.00069767,0.025477,MLW,0.25,0.13888
0.74,0.00070733,0.025964,MLW,0.25,0.13888
0.741,0.00069607,0.025671,MLW,0.25,0.13888
0.742,0.00068277,0.0253,MLW,0.25,0.13888
0.743,0.00070042,0.02607,MLW,0.25,0.13888
0.744,0.00070153,0.026229,MLW,0.25,0.13888
0.745,0.00068388,0.025683,MLW,0.25,0.13888
0.746,0.00069217,0.026103,MLW,0.25,0.13888
0.747,0.000694,0.026285,MLW,0.25,0.13888
0.748,0.00068257,0.025962,MLW,0.25,0.13888
0.749,0.00067989,0.02597,MLW,0.25,0.13888
0.75,0.00066737,0.0256,MLW,0.25,0.13888
0.751,0.00066327,0.025548,MLW,0.25,0.13888
0.752,0.0006734,0.026047,MLW,0.25,0.13888
0.753,0.00065938,0.025613,MLW,0.25,0.13888
0.754,0.00067057,0.026155,MLW,0.25,0.13888
0.755,0.00066487,0.02604,MLW,0.25,0.13888
0.756,0.00064813,0.025491,MLW,0.25,0.13888
0.757,0.00065138,0.025725,MLW,0.25,0.13888
0.758,0.00064812,0.025701,MLW,0.25,0.13888
0.759,0.00063282,0.02512,MLW,0.25,0.13888
0.76,0.00025955,0.005427,MLW,0.25,0.13888
0.761,0.00018314,0.002457,MLW,0.25,0.13888
0.762,0.0003992,0.013121,MLW,0.25,0.13888
0.763,0.00027355,0.0067524,MLW,0.25,0.13888
0.764,0.00035409,0.010687,MLW,0.25,0.13888
0.765,0.00042488,0.014326,MLW,0.25,0.13888
0.766,0.00046341,0.016793,MLW,0.25,0.13888
0.767,0.00052539,0.020307,MLW,0.25,0.13888
0.768,0.0005818,0.023486,MLW,0.25,0.13888
0.769,0.0005861,0.024009,MLW,0.25,0.13888
0.77,0.00059009,0.024451,MLW,0.25,0.13888
0.771,0.00059385,0.024786,MLW,0.25,0.13888
0.772,0.0005895,0.024727,MLW,0.25,0.13888
0.773,0.00058602,0.024686,MLW,0.25,0.13888
0.774,0.00059204,0.025045,MLW,0.25,0.13888
0.775,0.00056391,0.023956,MLW,0.25,0.13888
0.776,0.00058676,0.025028,MLW,0.25,0.13888
0.777,0.00058134,0.024896,MLW,0.25,0.13888
0.778,0.00057464,0.024708,MLW,0.25,0.13888
0.779,0.00057501,0.024821,MLW,0.25,0.13888
0.78,0.00056648,0.02455,MLW,0.25,0.13888
0.781,0.00056304,0.024496,MLW,0.25,0.13888
0.782,0.00056807,0.024812,MLW,0.25,0.13888
0.783,0.00055618,0.024388,MLW,0.25,0.13888
0.784,0.00055161,0.024283,MLW,0.25,0.13888
0.785,0.00055462,0.024508,MLW,0.25,0.13888
0.786,0.00054324,0.024097,MLW,0.25,0.13888
0.787,0.00055054,0.024496,MLW,0.25,0.13888
0.788,0.00054122,0.02416,MLW,0.25,0.13888
0.789,0.00054328,0.024332,MLW,0.25,0.13888
0.79,0.0005352,0.024015,MLW,0.25,0.13888
0.791,0.00053102,0.023956,MLW,0.25,0.13888
0.792,0.00052098,0.023597,MLW,0.25,0.13888
0.793,0.00051905,0.023593,MLW,0.25,0.13888
0.794,0.00050898,0.023278,MLW,0.25,0.13888
0.795,0.0005078,0.023302,MLW,0.25,0.13888
0.796,0.00051469,0.023646,MLW,0.25,0.13888
0.797,0.00051577,0.023795,MLW,0.25,0.13888
0.798,0.0005139,0.023847,MLW,0.25,0.13888
0.799,0.00051215,0.023842,MLW,0.25,0.13888
0.8,0.00049792,0.023252,MLW,0.25,0.13888
0.801,0.00050442,0.023637,MLW,0.25,0.13888
0.802,0.00050253,0.02364,MLW,0.25,0.13888
