WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.601,0.0016078,0,0.2,
0.602,0.0015912,0,0.2,
0.603,0.0015934,0,0.2,
0.604,0.0016322,0,0.2,
0.605,0.0016202,0,0.2,
0.606,0.0015965,0,0.2,
0.607,0.0015782,0,0.2,
0.608,0.0015676,0,0.2,
0.609,0.0015448,0,0.2,
0.61,0.0015243,0,0.2,
0.611,0.0015271,0,0.2,
0.612,0.0015073,0,0.2,
0.613,0.0014801,0,0.2,
0.614,0.0014235,0,0.2,
0.615,0.0014828,0,0.2,
0.616,0.0013996,0,0.2,
0.617,0.0014116,0,0.2,
0.618,0.0014721,0,0.2,
0.619,0.001449,0,0.2,
0.62,0.0014667,0,0.2,
0.621,0.0014764,0,0.2,
0.622,0.0014094,0,0.2,
0.623,0.0014105,0,0.2,
0.624,0.0013988,0,0.2,
0.625,0.0013608,0,0.2,
0.626,0.0013613,0,0.2,
0.627,0.0013856,0,0.2,
0.628,0.0013276,0,0.2,
0.629,0.0013771,0,0.2,
0.63,0.0013196,0,0.2,
0.631,0.0013718,0,0.2,
0.632,0.0012838,0,0.2,
0.633,0.0013647,0,0.2,
0.634,0.0013194,0,0.2,
0.635,0.0013362,0,0.2,
0.636,0.0012896,0,0.2,
0.637,0.0013121,0,0.2,
0.638,0.0013332,0,0.2,
0.639,0.001312,0,0.2,
0.64,0.0012746,0,0.2,
0.641,0.0012818,0,0.2,
0.642,0.0012608,0,0.2,
0.643,0.0012804,0,0.2,
0.644,0.0012586,0,0.2,
0.645,0.0012662,0,0.2,
0.646,0.0012285,0,0.2,
0.647,0.0012261,0,0.2,
0.648,0.0012337,0,0.2,
0.649,0.0012368,0,0.2,
0.65,0.0011472,0,0.2,
0.651,0.0012288,0,0.2,
0.652,0.0012009,0,0.2,
0.653,0.0012153,0,0.2,
0.654,0.0011993,0,0.2,
0.655,0.0011617,0,0.2,
0.656,0.00099482,0,0.2,
0.657,0.0010351,0,0.2,
0.658,0.0011547,0,0.2,
0.659,0.0011581,0,0.2,
0.66,0.0011529,0,0.2,
