WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.642,0.0012617,0.029384,TRP,0.25,0.63509
0.643,0.0012808,0.029965,TRP,0.25,0.63509
0.644,0.0012587,0.029612,TRP,0.25,0.63509
0.645,0.0012658,0.029896,TRP,0.25,0.63509
0.646,0.0012268,0.029003,TRP,0.25,0.63509
0.647,0.0012225,0.028847,TRP,0.25,0.63509
0.648,0.0012288,0.029026,TRP,0.25,0.63509
0.649,0.0012319,0.029264,TRP,0.25,0.63509
0.65,0.001145,0.02761,TRP,0.25,0.63509
0.651,0.0012266,0.029773,TRP,0.25,0.63509
0.652,0.0011951,0.028762,TRP,0.25,0.63509
0.653,0.0012121,0.02969,TRP,0.25,0.63509
0.654,0.0011962,0.02949,TRP,0.25,0.63509
0.655,0.001157,0.028467,TRP,0.25,0.63509
0.656,0.00099143,0.024623,TRP,0.25,0.63509
0.657,0.0010314,0.02575,TRP,0.25,0.63509
0.658,0.001151,0.028946,TRP,0.25,0.63509
0.659,0.0011546,0.029231,TRP,0.25,0.63509
0.66,0.0011493,0.029264,TRP,0.25,0.63509
0.661,0.0011522,0.029535,TRP,0.25,0.63509
0.662,0.0011653,0.030046,TRP,0.25,0.63509
0.663,0.0011435,0.029624,TRP,0.25,0.63509
0.664,0.001123,0.029244,TRP,0.25,0.63509
0.665,0.0011268,0.029492,TRP,0.25,0.63509
0.666,0.001125,0.029592,TRP,0.25,0.63509
0.667,0.0011127,0.029412,TRP,0.25,0.63509
0.668,0.0011065,0.0294,TRP,0.25,0.63509
0.669,0.0011184,0.029856,TRP,0.25,0.63509
0.67,0.0010985,0.029469,TRP,0.25,0.63509
0.671,0.0010889,0.029355,TRP,0.25,0.63509
0.672,0.001073,0.029064,TRP,0.25,0.63509
0.673,0.0010794,0.029379,TRP,0.25,0.63509
0.674,0.0010776,0.029472,TRP,0.25,0.63509
0.675,0.0010578,0.029066,TRP,0.25,0.63509
0.676,0.0010713,0.029579,TRP,0.25,0.63509
0.677,0.0010474,0.029055,TRP,0.25,0.63509
