WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
2.023,3.6028e-06,0.0014842,SAW,1.5,0.44616
2.024,3.8194e-06,0.001612,SAW,1.5,0.44616
2.025,3.8009e-06,0.0016187,SAW,1.5,0.44616
2.026,4.5902e-06,0.0020896,SAW,1.5,0.44616
2.027,4.3845e-06,0.0019755,SAW,1.5,0.44616
2.028,4.252e-06,0.0018409,SAW,1.5,0.44616
2.029,4.5916e-06,0.0020644,SAW,1.5,0.44616
2.03,4.8866e-06,0.0022938,SAW,1.5,0.44616
2.031,4.8115e-06,0.002249,SAW,1.5,0.44616
2.032,5.0317e-06,0.0023963,SAW,1.5,0.44616
2.033,4.821e-06,0.0022383,SAW,1.5,0.44616
2.034,4.9472e-06,0.0023553,SAW,1.5,0.44616
2.035,4.8832e-06,0.0023389,SAW,1.5,0.44616
2.036,4.9167e-06,0.0023593,SAW,1.5,0.44616
2.037,4.9318e-06,0.0023708,SAW,1.5,0.44616
2.038,4.6741e-06,0.0022172,SAW,1.5,0.44616
2.039,4.8406e-06,0.0023273,SAW,1.5,0.44616
2.04,4.4176e-06,0.0020292,SAW,1.5,0.44616
2.041,4.6679e-06,0.00222,SAW,1.5,0.44616
2.042,4.4461e-06,0.0021101,SAW,1.5,0.44616
2.043,4.666e-06,0.0022282,SAW,1.5,0.44616
2.044,4.6065e-06,0.0021703,SAW,1.5,0.44616
2.045,4.6482e-06,0.0022161,SAW,1.5,0.44616
2.046,4.6851e-06,0.0022444,SAW,1.5,0.44616
2.047,4.4684e-06,0.0021196,SAW,1.5,0.44616
2.048,3.8118e-06,0.0017322,SAW,1.5,0.44616
2.049,3.4941e-06,0.0015492,SAW,1.5,0.44616
2.05,3.3299e-06,0.0014505,SAW,1.5,0.44616
2.051,3.388e-06,0.0014786,SAW,1.5,0.44616
2.052,2.479e-06,0.0009875,SAW,1.5,0.44616
2.053,2.9207e-06,0.0012198,SAW,1.5,0.44616
2.054,2.2271e-06,0.000854,SAW,1.5,0.44616
2.055,2.5454e-06,0.0010082,SAW,1.5,0.44616
2.056,2.7153e-06,0.0011108,SAW,1.5,0.44616
2.057,2.7457e-06,0.0011246,SAW,1.5,0.44616
2.058,2.6974e-06,0.0011251,SAW,1.5,0.44616
2.059,2.9458e-06,0.0012773,SAW,1.5,0.44616
2.06,4.0981e-06,0.0019456,SAW,1.5,0.44616
2.061,3.767e-06,0.0017273,SAW,1.5,0.44616
2.062,2.8341e-06,0.001226,SAW,1.5,0.44616
2.063,2.9615e-06,0.001277,SAW,1.5,0.44616
2.064,2.8749e-06,0.0012419,SAW,1.5,0.44616
