WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.522,0.0028528,0.031735,SAS,0.25,0.33439
0.523,0.0026469,0.029654,SAS,0.25,0.33439
0.524,0.0028272,0.031896,SAS,0.25,0.33439
0.525,0.0028074,0.031894,SAS,0.25,0.33439
0.526,0.0026344,0.030143,SAS,0.25,0.33439
0.527,0.0022974,0.026472,SAS,0.25,0.33439
0.528,0.0026921,0.031238,SAS,0.25,0.33439
0.529,0.0027941,0.032647,SAS,0.25,0.33439
0.53,0.0026071,0.030674,SAS,0.25,0.33439
0.531,0.0028134,0.033331,SAS,0.25,0.33439
0.532,0.0026693,0.031844,SAS,0.25,0.33439
0.533,0.0023498,0.028227,SAS,0.25,0.33439
0.534,0.0024976,0.03021,SAS,0.25,0.33439
0.535,0.0025607,0.031187,SAS,0.25,0.33439
0.536,0.0026782,0.032838,SAS,0.25,0.33439
0.537,0.0024661,0.030444,SAS,0.25,0.33439
0.538,0.0025993,0.032303,SAS,0.25,0.33439
0.539,0.0025415,0.031796,SAS,0.25,0.33439
0.54,0.002457,0.030938,SAS,0.25,0.33439
0.541,0.0022658,0.028702,SAS,0.25,0.33439
0.542,0.0024828,0.031655,SAS,0.25,0.33439
0.543,0.0023781,0.030544,SAS,0.25,0.33439
0.544,0.0024765,0.032004,SAS,0.25,0.33439
0.545,0.0024288,0.031601,SAS,0.25,0.33439
0.546,0.0023687,0.031003,SAS,0.25,0.33439
0.547,0.0024231,0.031941,SAS,0.25,0.33439
0.548,0.0022571,0.029957,SAS,0.25,0.33439
0.549,0.0023451,0.031328,SAS,0.25,0.33439
0.55,0.0022941,0.030853,SAS,0.25,0.33439
0.551,0.0022689,0.030722,SAS,0.25,0.33439
0.552,0.0023374,0.03187,SAS,0.25,0.33439
0.553,0.002238,0.030721,SAS,0.25,0.33439
0.554,0.0022956,0.031727,SAS,0.25,0.33439
0.555,0.0022776,0.031689,SAS,0.25,0.33439
0.556,0.0022061,0.030901,SAS,0.25,0.33439
0.557,0.0021529,0.030356,SAS,0.25,0.33439
0.558,0.0021857,0.031026,SAS,0.25,0.33439
0.559,0.0020603,0.02944,SAS,0.25,0.33439
0.56,0.0020676,0.029739,SAS,0.25,0.33439
0.561,0.0022361,0.032375,SAS,0.25,0.33439
0.562,0.0020436,0.029782,SAS,0.25,0.33439
0.563,0.0021266,0.031194,SAS,0.25,0.33439
0.564,0.0020785,0.030686,SAS,0.25,0.33439
0.565,0.0020961,0.031147,SAS,0.25,0.33439
0.566,0.001919,0.028699,SAS,0.25,0.33439
0.567,0.0020471,0.030813,SAS,0.25,0.33439
0.568,0.0020358,0.030818,SAS,0.25,0.33439
0.569,0.0019928,0.030298,SAS,0.25,0.33439
0.57,0.0019856,0.030409,SAS,0.25,0.33439
0.571,0.0019032,0.029377,SAS,0.25,0.33439
0.572,0.0020046,0.031107,SAS,0.25,0.33439
0.573,0.0020145,0.031468,SAS,0.25,0.33439
0.574,0.0019914,0.031313,SAS,0.25,0.33439
0.575,0.0019352,0.030619,SAS,0.25,0.33439
0.576,0.0018983,0.030236,SAS,0.25,0.33439
