Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
49688.0,0.20125583641925615,2.961e-09,7.310405035584
49687.0,0.20125988689194357,2.943e-09,7.2656724227669995
49686.0,0.2012639375276738,3.113e-09,7.6850587293479995
49685.0,0.20126798832645668,3.27e-09,8.07231946575
49684.0,0.20127203928830206,3.325e-09,8.2077620212
49683.0,0.2012760904132198,3.307e-09,8.163000417123
49682.0,0.20128014170121974,3.165e-09,7.81217305746
49681.0,0.20128419315231175,3.098e-09,7.646489055578
49680.0,0.20128824476650564,3.155e-09,7.786863072
49679.0,0.20129229654381126,3.197e-09,7.890205722077
49678.0,0.2012963484842385,3.083e-09,7.608547057771999
49677.0,0.20130040058779716,3.003e-09,7.4108163999870005
49676.0,0.20130445285449713,2.981e-09,7.356228533456
49675.0,0.20130850528434827,2.864e-09,7.06722251
49674.0,0.20131255787736038,2.596e-09,6.405646292496001
49673.0,0.20131661063354336,2.493e-09,6.151245473997
49672.0,0.20132066355290706,2.743e-09,6.767824702912001
49671.0,0.20132471663546134,2.91e-09,7.17957598131
49670.0,0.20132876988121604,2.805e-09,6.9202404645
49669.0,0.20133282329018098,2.859e-09,7.053180334899
49668.0,0.20133687686236612,3.116e-09,7.686892257984
49667.0,0.20134093059778121,2.866e-09,7.069880007874
49666.0,0.2013449844964362,2.323e-09,5.730170944588
49665.0,0.20134903855834088,2.208e-09,5.4462797927999995
49664.0,0.20135309278350516,2.018e-09,4.977423024128
49663.0,0.20135714717193887,1.833e-09,4.520936071977
49662.0,0.20136120172365188,1.677e-09,4.136008987188
49661.0,0.20136525643865408,1.688e-09,4.162970786648
49660.0,0.2013693113169553,1.91e-09,4.710280795999999
49659.0,0.20137336635856543,2.214e-09,5.459760046134
49658.0,0.2013774215634943,2.175e-09,5.3633693967000005
49657.0,0.20138147693175182,2.095e-09,5.165887974655
49656.0,0.20138553246334784,2.059e-09,5.076914053824
49655.0,0.20138958815829222,1.553e-09,3.8291063458249996
49654.0,0.20139364401659485,1.005e-09,2.47784731458
49653.0,0.20139770003826557,7.384e-10,1.8204664300056
49652.0,0.20140175622331427,1.116e-09,2.751298352064
49651.0,0.20140581257175083,1.604e-09,3.954215768804
49650.0,0.2014098690835851,2.257e-09,5.5637814825
49649.0,0.20141392575882697,2.82e-09,6.951365426820001
49648.0,0.2014179825974863,2.852e-09,7.029962974208
49647.0,0.20142203959957297,2.552e-09,6.290232402168
49646.0,0.20142609676509687,2.386e-09,5.880834603976
49645.0,0.2014301540940679,2.273e-09,5.602094954825
49644.0,0.20143421158649585,2.458e-09,6.057806717088
49643.0,0.20143826924239067,2.975e-09,7.331671660775
49642.0,0.2014423270617622,3.193e-09,7.868599827652
49641.0,0.20144638504462037,2.888e-09,7.116693008328
49640.0,0.20145044319097502,2.317e-09,5.7093882832
49639.0,0.20145450150083605,1.642e-09,4.045937787082
49638.0,0.2014585599742133,1.373e-09,3.3829773234119997
49637.0,0.2014626186111167,1.586e-09,3.9076371856339995
49636.0,0.20146667741155613,1.989e-09,4.900363934544
49635.0,0.20147073637554144,2.386e-09,5.87822887485
49634.0,0.20147479550308256,2.6e-09,6.4051882856
49633.0,0.20147885479418934,2.308e-09,5.685607262212
49632.0,0.2014829142488717,1.945e-09,4.791187399679999
49631.0,0.20148697386713948,1.901e-09,4.6826119420609995
49630.0,0.20149103364900262,1.823e-09,4.4902985687
