# Wavelength (µm)	RSR
0.9732	0.000000
0.9744	0.000000
0.9757	0.000000
0.9770	0.000000
0.9782	0.000000
0.9795	0.000000
0.9808	0.000000
0.9821	0.000000
0.9833	0.000000
0.9846	0.000000
0.9859	0.000000
0.9871	0.000000
0.9884	0.000000
0.9897	0.000000
0.9909	0.000000
0.9922	0.000000
0.9935	0.000000
0.9948	0.000000
0.9960	0.000000
0.9973	0.000000
0.9986	0.000000
0.9998	0.000000
1.0011	0.000000
1.0024	0.000000
1.0037	0.000000
1.0049	0.000000
1.0062	0.000000
1.0075	0.000000
1.0087	0.000000
1.0100	0.000000
1.0113	0.000000
1.0125	0.000000
1.0138	0.000000
1.0151	0.000000
1.0164	0.000000
1.0176	0.000000
1.0189	0.000000
1.0202	0.000000
1.0214	0.000000
1.0227	0.000000
1.0240	0.000000
1.0252	0.000000
1.0265	0.000000
1.0278	0.000000
1.0291	0.000000
1.0303	0.000000
1.0316	0.000000
1.0329	0.000000
1.0341	0.000000
1.0354	0.000000
1.0367	0.000000
1.0379	0.000000
1.0392	0.000000
1.0405	0.000000
1.0418	0.000000
1.0430	0.000000
1.0443	0.000000
1.0456	0.000000
1.0468	0.000000
1.0481	0.000000
1.0494	0.000000
1.0506	0.000000
1.0519	0.000000
1.0532	0.000000
1.0545	0.000000
1.0557	0.000000
1.0570	0.000000
1.0583	0.000000
1.0595	0.000000
1.0608	0.000000
1.0621	0.000000
1.0633	0.000000
1.0646	0.000000
1.0659	0.000000
1.0672	0.000000
1.0684	0.000000
1.0697	0.000000
1.0710	0.000000
1.0722	0.000000
1.0735	0.000000
1.0748	0.000000
1.0760	0.000000
1.0773	0.000000
1.0786	0.000000
1.0799	0.000000
1.0811	0.000000
1.0824	0.000000
1.0837	0.000000
1.0849	0.000000
1.0862	0.000000
1.0875	0.000000
1.0887	0.000000
1.0900	0.000000
1.0913	0.000000
1.0926	0.000000
1.0938	0.000000
1.0951	0.000000
1.0964	0.000000
1.0976	0.000000
1.0989	0.000000
1.1002	0.000000
1.1015	0.000000
1.1027	0.000000
1.1040	0.000000
1.1053	0.000000
1.1065	0.000000
1.1078	0.000000
1.1091	0.000000
1.1103	0.000000
1.1116	0.000000
1.1129	0.000000
1.1142	0.000000
1.1154	0.000000
1.1167	0.000000
1.1180	0.000000
1.1192	0.000000
1.1205	0.000000
1.1218	0.000000
1.1230	0.000000
1.1243	0.000000
1.1256	0.000000
1.1269	0.000000
1.1281	0.000000
1.1294	0.000000
1.1307	0.000000
1.1319	0.000000
1.1332	0.000000
1.1345	0.000000
1.1357	0.000000
1.1370	0.000000
1.1383	0.000000
1.1396	0.000000
1.1408	0.000000
1.1421	0.000000
1.1434	0.000000
1.1446	0.000000
1.1459	0.000000
1.1472	0.000000
1.1484	0.000000
1.1497	0.000000
1.1510	0.000000
1.1523	0.000000
1.1535	0.000000
1.1548	0.000000
1.1561	0.000000
1.1573	0.000000
1.1586	0.000000
1.1599	0.000000
1.1611	0.000000
1.1624	0.000000
1.1637	0.000000
1.1650	0.000000
1.1662	0.000000
1.1675	0.000000
1.1688	0.000000
1.1700	0.000000
1.1713	0.000000
1.1726	0.000000
1.1738	0.000000
1.1751	0.000000
1.1764	0.000000
1.1777	0.000000
1.1789	0.000000
1.1802	0.000000
1.1815	0.000000
1.1827	0.000000
1.1840	0.000000
1.1853	0.000000
1.1865	0.000000
1.1878	0.000000
1.1891	0.000000
1.1904	0.000000
1.1916	0.000000
1.1929	0.000000
1.1942	0.000000
1.1954	0.000000
1.1967	0.000000
1.1980	0.000000
1.1992	0.000000
1.2005	0.000000
1.2018	0.000000
1.2031	0.000000
1.2043	0.000000
1.2056	0.000000
1.2069	0.000000
1.2081	0.000000
1.2094	0.000000
1.2107	0.000000
1.2120	0.000000
1.2132	0.000000
1.2145	0.000000
1.2158	0.000000
1.2170	0.000000
1.2183	0.000000
1.2196	0.000000
1.2208	0.000000
1.2221	0.000000
1.2234	0.000000
1.2247	0.000000
1.2259	0.000000
1.2272	0.000000
1.2285	0.000000
1.2297	0.000000
1.2310	0.000000
1.2323	0.000000
1.2335	0.000000
1.2348	0.000000
1.2361	0.000000
1.2374	0.000000
1.2386	0.000000
1.2399	0.000000
1.2412	0.000000
1.2424	0.000000
