# Wavelength (µm)	RSR
3.0459	0.000000
3.0587	0.000000
3.0714	0.000000
3.0841	0.000000
3.0968	0.000000
3.1095	0.000000
3.1222	0.000000
3.1349	0.000000
3.1476	0.000000
3.1604	0.000000
3.1731	0.000000
3.1858	0.000000
3.1985	0.000000
3.2112	0.000000
3.2239	0.000000
3.2366	0.000000
3.2493	0.000000
3.2621	0.000000
3.2748	0.000000
3.2875	0.000000
3.3002	0.000000
3.3129	0.000000
3.3256	0.000000
3.3383	0.000000
3.3511	0.000000
3.3638	0.000000
3.3765	0.000000
3.3892	0.000000
3.4019	0.000000
3.4146	0.000000
3.4273	0.000000
3.4400	0.000000
3.4528	0.000000
3.4655	0.000000
3.4782	0.000000
3.4909	0.000000
3.5036	0.000000
3.5163	0.000000
3.5290	0.000000
3.5417	0.000000
3.5545	0.000000
3.5672	0.000000
3.5799	0.000000
3.5926	0.000000
3.6053	0.000000
3.6180	0.000000
3.6307	0.000000
3.6434	0.000000
3.6562	0.000000
3.6689	0.000000
3.6816	0.000000
3.6943	0.000000
3.7070	0.000000
3.7197	0.000000
3.7324	0.000000
3.7451	0.000000
3.7579	0.000000
3.7706	0.000000
3.7833	0.000000
3.7960	0.000000
3.8087	0.000000
3.8214	0.000000
3.8341	0.000000
3.8468	0.000000
3.8596	0.000000
3.8723	0.000000
3.8850	0.000000
3.8977	0.000000
3.9104	0.000000
3.9231	0.000000
3.9358	0.000000
3.9485	0.000000
3.9613	0.000000
3.9740	0.000000
3.9867	0.000000
3.9994	0.000000
4.0121	0.000000
4.0248	0.000000
4.0375	0.000000
4.0503	0.000000
4.0630	0.000000
4.0757	0.000000
4.0884	0.000000
4.1011	0.000000
4.1138	0.000000
4.1265	0.000000
4.1392	0.000000
4.1520	0.000000
4.1647	0.000000
4.1774	0.000000
4.1901	0.000000
4.2028	0.000000
4.2155	0.000000
4.2282	0.000000
4.2409	0.000000
4.2537	0.000000
4.2664	0.000000
4.2791	0.000000
4.2918	0.000000
4.3045	0.000000
4.3172	0.000000
4.3299	0.000000
4.3426	0.000000
4.3554	0.000000
4.3681	0.000000
4.3808	0.000000
4.3935	0.000000
4.4062	0.000000
4.4189	0.000000
4.4316	0.000000
4.4443	0.000000
4.4571	0.000000
4.4698	0.000000
4.4825	0.000000
4.4952	0.000000
4.5079	0.000000
4.5206	0.000000
4.5333	0.000000
4.5460	0.000000
4.5588	0.000000
4.5715	0.000000
4.5842	0.000000
4.5969	0.000000
4.6096	0.000000
4.6223	0.000000
4.6350	0.000000
4.6477	0.000000
4.6605	0.000000
4.6732	0.000000
4.6859	0.000000
4.6986	0.000000
4.7113	0.000000
4.7240	0.000000
4.7367	0.000000
4.7494	0.000000
4.7622	0.000000
4.7749	0.000000
4.7876	0.000000
4.8003	0.000000
4.8130	0.000000
4.8257	0.000000
4.8384	0.000000
4.8512	0.000000
4.8639	0.000000
4.8766	0.000000
4.8893	0.000000
4.9020	0.000000
4.9147	0.000000
4.9274	0.000000
4.9401	0.000000
4.9529	0.000000
4.9656	0.000000
4.9783	0.000000
4.9910	0.000000
5.0037	0.000000
5.0164	0.000000
5.0291	0.000000
5.0418	0.000000
5.0546	0.000000
5.0673	0.000000
5.0800	0.000000
5.0927	0.000000
5.1054	0.000000
5.1181	0.000000
5.1308	0.000000
5.1435	0.000000
5.1563	0.000000
5.1690	0.000000
5.1817	0.000000
5.1944	0.000000
5.2071	0.000000
5.2198	0.000000
5.2325	0.000000
5.2452	0.000000
5.2580	0.000000
5.2707	0.000000
5.2834	0.000000
5.2961	0.000000
5.3088	0.000000
5.3215	0.000000
5.3342	0.000000
5.3469	0.000000
5.3597	0.000000
5.3724	0.000000
5.3851	0.000000
5.3978	0.000000
5.4105	0.000000
5.4232	0.000000
5.4359	0.000000
5.4486	0.000000
5.4614	0.000000
5.4741	0.000000
5.4868	0.000000
5.4995	0.000000
5.5122	0.000000
5.5249	0.000000
5.5376	0.000000
5.5504	0.000000
5.5631	0.000000
5.5758	0.000000
5.5885	0.000000
5.6012	0.000000
5.6139	0.000000
5.6266	0.000000
5.6393	0.000000
5.6521	0.000000
5.6648	0.000000
5.6775	0.000000
5.6902	0.000000
5.7029	0.000000
5.7156	0.000000
5.7283	0.000000
5.7410	0.000000
5.7538	0.000000
5.7665	0.000000
5.7792	0.000000
5.7919	0.000000
5.8046	0.000000
5.8173	0.000000
5.8300	0.000000
5.8427	0.000000
5.8555	0.000000
5.8682	0.000000
5.8809	0.000000
5.8936	0.000000
5.9063	0.000000
5.9190	0.000000
5.9317	0.000000
5.9444	0.000000
5.9572	0.000000
5.9699	0.000000
5.9826	0.000000
5.9953	0.000000
6.0080	0.000000
6.0207	0.000000
6.0334	0.000000
6.0461	0.000000
6.0589	0.000000
6.0716	0.000000
6.0843	0.000000
6.0970	0.000000
6.1097	0.000000
6.1224	0.000000
6.1351	0.000000
6.1478	0.000000
6.1606	0.000000
6.1733	0.000000
6.1860	0.000000
6.1987	0.000000
6.2114	0.000000
6.2241	0.000000
6.2368	0.000000
6.2495	0.000000
6.2623	0.000000
6.2750	0.000000
6.2877	0.000000
6.3004	0.000000
6.3131	0.000000
6.3258	0.000000
6.3385	0.000000
6.3513	0.000000
6.3640	0.000000
6.3767	0.000000
6.3894	0.000000
6.4021	0.000000
6.4148	0.000000
6.4275	0.000000
6.4402	0.000000
6.4530	0.000000
6.4657	0.000000
6.4784	0.000000
6.4911	0.000000
6.5038	0.000000
6.5165	0.000000
6.5292	0.000000
6.5419	0.000000
6.5547	0.000000
6.5674	0.000000
6.5801	0.000000
6.5928	0.000000
6.6055	0.000000
6.6182	0.000000
6.6309	0.000000
6.6436	0.000000
6.6564	0.000000
6.6691	0.000000
6.6818	0.000000
6.6945	0.000000
6.7072	0.000000
6.7199	0.000000
6.7326	0.000000
6.7453	0.000000
6.7581	0.000000
6.7708	0.000000
6.7835	0.000000
6.7962	0.000000
6.8089	0.000000
6.8216	0.000000
6.8343	0.000000
6.8470	0.000000
6.8598	0.000000
6.8725	0.000000
6.8852	0.000000
6.8979	0.000000
6.9106	0.000000
6.9233	0.000000
6.9360	0.000000
6.9487	0.000000
6.9615	0.000000
6.9742	0.000000
6.9869	0.000000
6.9996	0.000000
7.0123	0.000000
7.0250	0.000000
7.0377	0.000000
7.0505	0.000000
7.0632	0.000000
7.0759	0.000000
7.0886	0.000000
7.1013	0.000000
7.1140	0.000000
7.1267	0.000000
7.1394	0.000000
7.1522	0.000000
7.1649	0.000000
7.1776	0.000000
7.1903	0.000000
7.2030	0.000000
7.2157	0.000000
7.2284	0.000000
7.2411	0.000000
7.2539	0.000000
7.2666	0.000000
7.2793	0.000000
7.2920	0.000000
7.3047	0.000000
7.3174	0.000000
7.3301	0.000000
7.3428	0.000000
7.3556	0.000000
7.3683	0.000000
7.3810	0.000000
7.3937	0.000000
7.4064	0.000000
7.4191	0.000000
7.4318	0.000000
7.4445	0.000000
7.4573	0.000000
7.4700	0.000000
7.4827	0.000000
7.4954	0.000000
7.5081	0.000000
7.5208	0.000000
7.5335	0.000000
7.5462	0.000000
7.5590	0.000000
7.5717	0.000000
7.5844	0.000000
7.5971	0.000000
7.6098	0.000000
7.6225	0.000000
7.6352	0.000000
7.6479	0.000000
7.6607	0.000000
7.6734	0.000000
7.6861	0.000000
7.6988	0.000000
7.7115	0.000000
7.7242	0.000000
7.7369	0.000000
7.7496	0.000000
7.7624	0.000000
7.7751	0.000000
7.7878	0.000000
7.8005	0.000000
7.8132	0.000000
7.8259	0.000000
7.8386	0.000000
7.8514	0.000000
7.8641	0.000000
7.8768	0.000000
7.8895	0.000000
7.9022	0.000000
7.9149	0.000000
7.9276	0.000000
7.9403	0.000000
7.9531	0.000000
7.9658	0.000000
7.9785	0.000000
7.9912	0.000000
8.0039	0.000000
8.0166	0.000000
8.0293	0.000000
8.0420	0.000000
8.0548	0.000000
8.0675	0.000000
8.0802	0.000000
8.0929	0.000000
8.1056	0.000000
8.1183	0.000000
8.1310	0.000000
8.1437	0.000000
8.1565	0.000000
8.1692	0.000000
8.1819	0.000000
8.1946	0.000000
8.2073	0.000000
8.2200	0.000000
8.2327	0.000000
8.2454	0.000000
8.2582	0.000000
8.2709	0.000000
8.2836	0.000000
8.2963	0.000000
8.3090	0.000000
8.3217	0.000000
8.3344	0.000000
8.3471	0.000000
8.3599	0.000000
8.3726	0.000000
8.3853	0.000000
8.3980	0.000000
8.4107	0.000000
8.4234	0.000000
8.4361	0.000000
8.4488	0.000000
8.4616	0.000000
8.4743	0.000000
8.4870	0.000000
8.4997	0.000000
8.5124	0.000000
8.5251	0.000000
8.5378	0.000000
8.5506	0.000000
8.5633	0.000000
8.5760	0.000000
8.5887	0.000000
8.6014	0.000000
8.6141	0.000000
8.6268	0.000000
8.6395	0.000000
8.6523	0.000000
8.6650	0.000000
8.6777	0.000000
8.6904	0.000000
8.7031	0.000000
8.7158	0.000000
8.7285	0.000000
8.7412	0.000000
8.7540	0.000000
8.7667	0.000000
8.7794	0.000000
8.7921	0.000000
8.8048	0.000000
8.8175	0.000000
8.8302	0.000000
8.8429	0.000000
8.8557	0.000000
8.8684	0.000000
8.8811	0.000000
8.8938	0.000000
8.9065	0.000000
8.9192	0.000000
8.9319	0.000000
8.9446	0.000000
8.9574	0.000000
8.9701	0.000000
8.9828	0.000000
8.9955	0.000000
9.0082	0.000000
9.0209	0.000000
9.0336	0.000000
9.0463	0.000000
9.0591	0.000000
9.0718	0.000000
9.0845	0.000000
9.0972	0.000000
9.1099	0.000000
9.1226	0.000000
9.1353	0.000000
9.1480	0.000000
9.1608	0.000000
9.1735	0.000000
9.1862	0.000000
9.1989	0.000000
9.2116	0.000000
9.2243	0.000000
9.2370	0.000000
9.2497	0.000000
9.2625	0.000000
9.2752	0.000000
9.2879	0.000000
9.3006	0.000000
9.3133	0.000000
9.3260	0.000000
9.3387	0.000000
9.3515	0.000000
9.3642	0.000000
9.3769	0.000000
9.3896	0.000000
9.4023	0.000000
9.4150	0.000000
9.4277	0.000000
9.4404	0.000000
9.4532	0.000000
9.4659	0.000000
9.4786	0.000000
9.4913	0.000000
9.5040	0.000000
9.5167	0.000000
9.5294	0.000000
9.5421	0.000000
9.5549	0.000000
9.5676	0.000000
9.5803	0.000000
9.5930	0.000000
9.6057	0.000000
9.6184	0.000000
9.6311	0.000000
9.6438	0.000000
9.6566	0.000000
9.6693	0.000000
9.6820	0.000000
9.6947	0.000000
9.7074	0.000000
9.7201	0.000000
9.7328	0.000000
9.7455	0.000000
9.7583	0.000000
9.7710	0.000000
9.7837	0.000000
9.7964	0.000000
9.8091	0.000000
9.8218	0.000000
9.8345	0.000000
9.8472	0.000000
9.8600	0.000000
9.8727	0.000000
9.8854	0.000000
9.8981	0.000000
9.9108	0.000000
9.9235	0.000000
9.9362	0.000000
9.9489	0.000000
9.9617	0.000000
9.9744	0.000000
9.9871	0.000000
9.9998	0.000000
10.0125	0.000000
10.0252	0.000000
10.0379	0.000000
10.0507	0.000000
10.0634	0.000000
10.0761	0.000000
10.0888	0.000000
10.1015	0.000000
10.1142	0.000000
10.1269	0.000000
10.1396	0.000000
10.1524	0.000000
10.1651	0.000000
10.1778	0.000000
10.1905	0.000000
10.2032	0.000000
10.2159	0.000000
10.2286	0.000000
10.2413	0.000000
10.2541	0.000000
10.2668	0.000000
10.2795	0.000000
10.2922	0.000000
10.3049	0.000000
10.3176	0.000000
10.3303	0.000000
10.3430	0.000000
10.3558	0.000000
10.3685	0.000000
10.3812	0.000000
10.3939	0.000000
10.4066	0.000000
10.4193	0.000000
10.4320	0.000000
10.4447	0.000000
10.4575	0.000000
10.4702	0.000000
10.4829	0.000000
10.4956	0.000000
10.5083	0.000000
10.5210	0.000000
10.5337	0.000000
10.5464	0.000000
10.5592	0.000000
10.5719	0.000000
10.5846	0.000000
10.5973	0.000000
10.6100	0.000000
10.6227	0.000000
10.6354	0.000000
10.6481	0.000000
10.6609	0.000000
10.6736	0.000000
10.6863	0.000000
10.6990	0.000000
10.7117	0.000000
10.7244	0.000000
10.7371	0.000000
10.7498	0.000000
10.7626	0.000000
10.7753	0.000000
10.7880	0.000000
10.8007	0.000000
10.8134	0.000000
10.8261	0.000000
10.8388	0.000000
10.8516	0.000000
10.8643	0.000000
10.8770	0.000000
10.8897	0.000000
10.9024	0.000000
10.9151	0.000000
10.9278	0.000000
10.9405	0.000000
10.9533	0.000000
10.9660	0.000000
10.9787	0.000000
10.9914	0.000000
11.0041	0.000000
11.0168	0.000000
11.0295	0.000000
11.0422	0.000000
11.0550	0.000000
11.0677	0.000000
11.0804	0.000000
11.0931	0.000000
11.1058	0.000000
11.1185	0.000000
11.1312	0.000000
11.1439	0.000000
11.1567	0.000000
11.1694	0.000000
11.1821	0.000000
11.1948	0.000000
11.2075	0.000000
11.2202	0.000000
11.2329	0.000000
11.2456	0.000000
11.2584	0.000000
11.2711	0.000000
11.2838	0.000000
11.2965	0.000000
11.3092	0.000000
11.3219	0.000000
11.3346	0.000000
11.3473	0.000000
11.3601	0.000000
11.3728	0.000000
11.3855	0.000000
11.3982	0.000000
11.4109	0.000000
11.4236	0.000000
11.4363	0.000000
11.4490	0.000000
11.4618	0.000000
11.4745	0.000000
11.4872	0.000000
11.4999	0.000000
11.5126	0.000000
11.5253	0.000000
11.5380	0.000000
11.5508	0.000000
11.5635	0.000000
11.5762	0.000000
11.5889	0.000000
11.6016	0.000000
11.6143	0.000000
11.6270	0.000000
11.6397	0.000000
11.6525	0.000000
11.6652	0.000000
11.6779	0.000000
11.6906	0.000000
11.7033	0.000000
11.7160	0.000000
11.7287	0.000000
11.7414	0.000000
11.7542	0.000000
11.7669	0.000000
11.7796	0.000000
11.7923	0.000000
11.8050	0.000000
11.8177	0.000000
11.8304	0.000000
11.8431	0.000000
11.8559	0.000000
11.8686	0.000000
11.8813	0.000000
11.8940	0.000000
11.9067	0.000000
11.9194	0.000000
11.9321	0.000000
11.9448	0.000000
11.9576	0.000000
11.9703	0.000000
11.9830	0.000000
11.9957	0.000000
12.0084	0.000000
12.0211	0.000000
12.0338	0.000000
12.0465	0.000000
12.0593	0.000000
12.0720	0.000000
12.0847	0.000000
12.0974	0.000000
12.1101	0.000000
12.1228	0.000000
12.1355	0.000000
12.1482	0.000000
12.1610	0.000000
12.1737	0.000000
12.1864	0.000000
12.1991	0.000000
12.2118	0.000000
12.2245	0.000000
12.2372	0.000000
12.2499	0.000000
12.2627	0.000000
12.2754	0.000000
12.2881	0.000000
12.3008	0.000000
12.3135	0.000000
12.3262	0.000000
12.3389	0.000000
12.3517	0.000000
12.3644	0.000000
12.3771	0.000000
12.3898	0.000000
12.4025	0.000000
12.4152	0.000000
12.4279	0.000000
12.4406	0.000000
12.4534	0.000000
12.4661	0.000000
12.4788	0.000000
12.4915	0.000000
12.5042	0.000000
12.5169	0.000000
12.5296	0.000000
12.5423	0.000000
12.5551	0.000000
12.5678	0.000000
12.5805	0.000000
12.5932	0.000000
12.6059	0.000000
12.6186	0.000000
12.6313	0.000000
12.6440	0.000000
12.6568	0.000000
12.6695	0.000000
12.6822	0.000000
12.6949	0.000000
12.7076	0.000000
12.7203	0.000000
12.7330	0.000000
12.7457	0.000000
12.7585	0.000000
12.7712	0.000000
12.7839	0.000000
12.7966	0.000000
12.8093	0.000000
12.8220	0.000000
12.8347	0.000000
12.8474	0.000000
12.8602	0.000000
12.8729	0.000000
12.8856	0.000000
12.8983	0.000000
12.9110	0.000000
12.9237	0.000000
12.9364	0.000000
12.9491	0.000000
12.9619	0.000000
12.9746	0.000000
12.9873	0.000000
13.0000	0.000000
